Timestamp,Untitled Question,"Do you consider yourself a musician? 
or
Did you play in instrument growing up?",How frequently do you play / practice,How many SETS did you find?,Enter your age,Enter your Major,Enter your GPA,"Number of instruments you can play:

(instruments you can play confidently, and you understand the instrument)",When was the last time you read sheet music?,STEM
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10/27/2023 0:46:38,,No,,6,23,Digital Media Art,3,,,no
10/27/2023 16:13:02,,No,,6,20,Aerospace Engineering,3.7,,,yes
10/27/2023 16:48:32,,No,,3,19,Civil Engineering,3,,,yes
10/27/2023 17:44:11,,Yes,A few times a week,4,20,Computer Engineering,3.01,1,"A long time ago, > 1 year",yes
10/27/2023 18:16:46,,No,,1,18,Data Science,3.64,,,yes
10/27/2023 19:00:59,,Yes,A few times a week,7,21,Aviation,3.35,3,This week,yes
10/27/2023 19:28:19,,Yes,A few times a year,4,18,Aerospace Engineering,3.2,2,"A long time ago, > 1 year",yes
10/27/2023 19:39:20,,Yes,A few times a month,7,19,Aerospace Engineering,3.5,1,"A long time ago, > 1 year",yes
10/27/2023 20:00:47,,No,,2,18,Engineering Technology,3.2,,,yes
10/27/2023 20:13:20,,No,,1,18,Digital Media Art,3,,,no
10/27/2023 20:44:36,,Yes,A few times a year,8,19,Statistics,3.87,5,This year,yes
10/27/2023 21:00:51,,No,,1,26,Urban Planner,3.8,,,no
10/27/2023 21:20:20,,No,,1,19,Data Science,3.7,,,yes
10/27/2023 21:42:18,,Yes,"Not for a long time, > 1 year ago",4,19,Aerospace Engineering,3.2,1,"A long time ago, > 1 year",yes
10/27/2023 22:05:14,,Yes,A few times a week,2,18,Psychology,3,1,This week,no
10/28/2023 21:06:34,,Yes,"Not for a long time, > 1 year ago",8,20,Computer Network Management,3.95,4,"A long time ago, > 1 year",yes
10/28/2023 21:29:23,,Yes,"Not for a long time, > 1 year ago",5,21,Math,3.3,1,"A long time ago, > 1 year",yes
10/28/2023 21:41:37,,No,,5,18,Nutritional Science,3.8,,,no
10/28/2023 22:09:02,,No,,1,22,Marketing,3.9,,,no
10/28/2023 22:25:06,,No,,0,20,Communication Studies,4,,,no
10/29/2023 15:15:50,,Yes,A few times a week,10,18,Aerospace Engineering,4,1,This week,yes
10/29/2023 15:43:41,,No,,1,20,Political Science ,3.5,,,no
10/29/2023 16:06:18,,No,,3,23,Data Analytics,3.4,,,yes
10/29/2023 16:25:03,,No,,2,19,Psychology,2,,,no
10/30/2023 13:32:30,,Yes,A few times a month,9,23,Chemical Engineering,3.42,1,This month,yes
10/30/2023 13:42:18,,No,,2,31,Math,3.9,,,yes
10/30/2023 13:49:43,,No,,4,22,Bioinformatics,3.7,,,yes
10/30/2023 15:08:48,,No,,3,24,Computer Science,3.9,,,yes
10/30/2023 15:41:49,,Yes,"Not for a long time, > 1 year ago",8,21,Data Science,3.5,2,"A long time ago, > 1 year",yes
10/30/2023 15:47:59,,Yes,"Not for a long time, > 1 year ago",8,18,Computer Science,4,3,This year,yes
10/30/2023 16:25:55,,No,,3,23,Software Engineering,3.6,,,yes
10/30/2023 16:36:04,,No,,4,26,Software Engineering,3.7,,,yes
10/30/2023 17:03:26,,No,,2,23,Software Engineering,3.43,,,yes
10/30/2023 18:22:55,,Yes,A few times a week,2,23,Computer Science,3.8,2,This week,yes
10/30/2023 18:53:41,,No,,4,18,Software Engineering,3.2,,,yes
10/31/2023 12:01:53,,No,,7,37,Data Science,3.86,,,yes
10/31/2023 12:07:49,,No,,3,28,Data Science,3.74,,,yes
10/31/2023 17:57:44,,Yes,A few times a week,5,19,Molecular Biology,3.45,1,This year,yes
10/31/2023 18:24:45,,Yes,A few times a week,2,30,Psychology,3.6,4,This year,no
10/31/2023 18:56:17,,Yes,"Not for a long time, > 1 year ago",2,19,Software Engineering,3.3,3,"A long time ago, > 1 year",yes
10/31/2023 19:16:28,,No,,3,24,Software Engineering,3,,,yes
10/31/2023 19:35:14,,No,,4,23,Software Engineering,3.5,,,yes
10/31/2023 19:56:10,,No,,2,24,Computer Engineering,3.6,,,yes
11/1/2023 10:27:44,,Yes,A few times a month,13,18,Data Science,3.18,1,This month,yes
11/1/2023 10:36:32,,Yes,"Not for a long time, > 1 year ago",0,19,Marine Biology,3.21,1,This year,yes
11/1/2023 13:35:49,,Yes,"Not for a long time, > 1 year ago",3,22,Math,3.8,1,"A long time ago, > 1 year",yes
11/1/2023 13:42:15,,No,,1,23,Data Science,3.3,,,yes
11/1/2023 16:25:45,,Yes,A few times a week,4,18,Computer Science,4,2,This week,yes
11/1/2023 16:52:44,,No,,1,22,Political Science ,3,,,no
11/1/2023 17:06:50,,No,,3,21,Computer Science,3.7,,,yes
11/1/2023 17:13:53,,Yes,"Not for a long time, > 1 year ago",3,19,Computer Science,3.5,2,"A long time ago, > 1 year",yes
11/1/2023 17:57:41,,Yes,A few times a week,1,18,Data Science,3.7,1,This year,yes
11/1/2023 18:13:37,,Yes,"Not for a long time, > 1 year ago",10,23,Industrial Design,3.1,0,"A long time ago, > 1 year",yes
11/2/2023 12:03:02,,No,,3,19,Math,2.7,,,yes
11/2/2023 12:13:24,,Yes,"Not for a long time, > 1 year ago",3,20,Math,3.04,1,"A long time ago, > 1 year",yes
11/2/2023 13:20:56,,Yes,Daily,7,21,Computer Engineering,4,2,This week,yes
11/2/2023 17:53:03,,No,,8,23,Artificial Inteligence,3.9,,,yes
11/3/2023 10:55:57,,Yes,"Not for a long time, > 1 year ago",4,24,Computer Science,3.8,1,"A long time ago, > 1 year",yes
11/4/2023 17:03:54,,No,,6,19,Biology,3.8,,,yes
11/5/2023 14:57:49,,Yes,"Daily, A few times a week",4,24,Vocal Performance,3.94,2,This week,no
11/6/2023 10:40:16,,Yes,A few times a month,5,21,Psychology,3,2,This month,no
11/6/2023 10:47:52,,Yes,A few times a week,1,32,Data Science,3.9,2,This week,yes
11/6/2023 13:29:15,,No,,0,24,Software Engineering,3.5,,,yes
11/6/2023 13:40:13,,No,,2,19,Software Engineering,3.7,,,yes
11/7/2023 12:04:58,,Yes,A few times a week,4,20,Aerospace Engineering,3.06,1,"A long time ago, > 1 year",yes
11/7/2023 12:15:58,,No,,2,37,Computer Science,3.6,,,yes
11/7/2023 15:01:26,,No,,3,24,Data Science,3.4,,,yes
11/7/2023 15:07:03,,No,,3,22,Data Science,3.2,,,yes
11/7/2023 15:48:47,,No,,8,19,Aerospace Engineering,4,,,yes
11/7/2023 16:00:36,,Yes,A few times a week,16,22,Computer Science,3.85,3,This year,yes
11/7/2023 17:06:26,,No,,3,20,Electrical Engineering,2,,,yes
11/7/2023 17:16:54,,No,,6,19,Biomedical Engineering ,3.2,,,yes
11/7/2023 17:23:46,,Yes,A few times a week,7,19,Business ,2.8,1,"A long time ago, > 1 year",no
11/7/2023 17:39:19,,Yes,A few times a week,3,19,Biology,3.65,2,This month,yes
11/7/2023 19:07:28,,Yes,"Not for a long time, > 1 year ago",6,23,Data Science,3.6,1,"A long time ago, > 1 year",no
11/8/2023 10:39:28,,No,,6,22,Microbiology,3.6,,,yes
11/8/2023 10:49:22,,Yes,"Not for a long time, > 1 year ago",5,21,Business Analytics ,3.6,0,"A long time ago, > 1 year",yes
11/8/2023 13:35:09,,Yes,A few times a week,3,19,Data Science,3,2,"A long time ago, > 1 year",yes
11/8/2023 13:41:12,,Yes,A few times a week,1,25,Data Science,3.7,1,Today!,yes
11/9/2023 12:03:39,,No,,1,22,Aerospace Engineering,3.1,,,yes
11/9/2023 12:15:40,,Yes,A few times a month,1,25,Math,3.65,2,"A long time ago, > 1 year",yes
11/9/2023 15:08:09,,No,,8,22,"Forensic Science, Biology",3.83,,,yes
11/9/2023 15:17:33,,No,,5,27,Math,3.03,,,yes
11/9/2023 15:25:00,,Yes,"Not for a long time, > 1 year ago",11,24,Data Science,3.6,2,"A long time ago, > 1 year",yes
11/9/2023 17:41:07,,Yes,A few times a month,5,22,Software Engineering,3.3,2,"A long time ago, > 1 year",yes
11/9/2023 17:49:59,,Yes,"Not for a long time, > 1 year ago",5,19,Computer Science,3.8,3,This month,yes
11/9/2023 18:05:18,,No,,7,20,Data Science,3.8,,,yes
11/9/2023 18:30:13,,No,,3,27,Software Engineering,2.6,,,yes
11/14/2023 12:00:05,,No,,8,20,Computer Science,3.7,,,yes
11/14/2023 12:21:12,,No,,2,41,Data Science,3.7,,,yes
11/14/2023 17:45:00,,No,,2,19,Pre-Nursing,3.23,,,yes
11/14/2023 17:58:36,,Yes,A few times a week,2,20,Mechanical Engineering,3.02,2,Today!,yes
11/14/2023 18:12:30,,Yes,"Not for a long time, > 1 year ago",5,19,Mechanical Engineering,3.1,1,"A long time ago, > 1 year",yes
11/14/2023 18:23:02,,No,,4,22,Data Science,3.93,,,yes
11/14/2023 18:40:52,,No,,5,21,Animation/Illustration,3.5,,,no
11/14/2023 18:49:46,,Yes,A few times a year,6,21,Management Information Systems,3.8,2,This year,yes
11/14/2023 18:55:43,,No,,5,20,Animation/Illustration,3.5,,,no
11/14/2023 19:03:50,,Yes,A few times a year,7,20,Aerospace Engineering,3.83,2,"A long time ago, > 1 year",yes
11/15/2023 10:37:03,,Yes,A few times a week,4,22,Data Science,3.3,3,This week,yes
11/15/2023 10:42:58,,No,,10,21,Business Analytics ,3.3,,,yes
11/15/2023 13:32:48,,No,,6,21,Statistics,3.6,,,yes
11/15/2023 13:41:09,,No,,6,22,Math,3.98,,,yes
11/15/2023 16:07:24,,Yes,A few times a week,4,18,Computer Science,4,4,"Today!, This week",yes
11/15/2023 16:33:39,,No,,3,25,Math,3,,,yes
11/20/2023 10:37:01,,No,,4,25,Molecular Biology,2.9,,,yes
11/20/2023 10:43:30,,Yes,A few times a year,4,20,Aerospace Engineering,3.002,1,This year,yes
11/20/2023 10:58:12,,Yes,"Not for a long time, > 1 year ago",2,23,Computer Science,3.7,4,"A long time ago, > 1 year",yes
11/20/2023 13:27:44,,No,,4,20,Data Science,3.87,,,yes
11/20/2023 13:33:33,,No,,4,20,Computer Science,3.7,,,yes
11/20/2023 22:22:58,,No,,4,19,Electrical And Electronics,3.303,,,yes
11/27/2023 14:28:53,,No,,1,24,Software Engineering,3.5,,,yes
11/27/2023 14:47:52,,No,,3,19,Civil Engineering,3.5,,,yes
11/27/2023 15:01:35,,Yes,"Not for a long time, > 1 year ago",3,19,Software Engineering,3.92,2,This week,yes
11/27/2023 15:16:45,,No,,3,19,Electrical Engineering,3.65,,,yes
11/27/2023 15:33:12,,No,,2,23,CNSM - Technology,3.3,,,yes
11/27/2023 15:47:55,,No,,3,19,Kinesiology,3.5,,,no
11/27/2023 16:24:13,,Yes,A few times a year,3,21,Civil Engineering,2.8,2,"A long time ago, > 1 year",yes
11/27/2023 16:55:45,,No,,2,18,Computer Science,2,,,yes
11/27/2023 17:04:08,,Yes,"Not for a long time, > 1 year ago",3,18,Mechanical Engineer,4,1,"A long time ago, > 1 year",yes
11/27/2023 17:20:01,,Yes,Daily,3,22,Math,3.5,1,"A long time ago, > 1 year",yes
11/27/2023 18:24:57,,Yes,"Not for a long time, > 1 year ago",1,20,Software Engineering,3.85,1,"A long time ago, > 1 year",yes
11/29/2023 17:47:20,,Yes,"Not for a long time, > 1 year ago",6,19,Data Science,3.6,2,This month,yes
12/1/2023 13:20:03,,No,,1,26,Computer Science,3.89,,,yes
12/1/2023 13:35:09,,Yes,A few times a month,10,24,Physics,2.6,2,This month,yes
12/1/2023 13:44:35,,Yes,"Not for a long time, > 1 year ago",8,23,Bioinformatics,3.92,1,"A long time ago, > 1 year",yes